university_name,status,processed_date,entries_added
San Damaso Ecclesiastical University,,,
San Jorge University,,,
Valencia Catholic University Saint Vincent Martyr,,,
University of Santiago de Compostela,,,
University of Seville,,,
University of Valencia,,,
Valencian International University,,,
Polytechnic University of Valencia,,,
University of Valladolid,,,
University of Vic,,,
